Fiscal Year,Total SSI ($B),Total Enrollment,ssi_per_fte,Average CPI,HEPI Rate Increase,Actual Funding ($),hepi_cum_index,ssi_per_fte_real_hepi,hepi_index_base,ssi_per_fte_real_2016,Target Funding (2016 Power),Gap Per Student,SSI Shortfall
2016,1.86,343212,5410.65,238.24,0.01,5410.65,1.01,5330.69,1,5410.65,5410.65,0,0
2017,1.93,335687,5738.68,242.68,0.03,5738.68,1.05,5489.2,1.03,5571.53,5572.97,165.71,55.63
2018,1.96,335565,5845.07,248.13,0.03,5845.07,1.07,5449.28,1.06,5531.02,5717.87,127.2,42.68
2019,2,335754,5958.53,253.26,0.03,5958.53,1.1,5393.26,1.09,5474.16,5889.4,69.13,23.21
2020,2.01,336400,5976.52,257.27,0.02,5976.52,1.13,5308.67,1.11,5388.3,6001.3,-24.79,-8.34
2021,1.99,306101,6501.78,263.15,0.03,6501.78,1.16,5623.41,1.14,5707.76,6163.34,338.44,103.6
2022,2.06,299289,6874.29,282.03,0.05,6874.29,1.22,5651.71,1.2,5736.48,6483.83,390.46,116.86
2023,2.08,289380,7170.85,299.66,0.04,7170.85,1.26,5668.77,1.25,5753.8,6743.18,427.66,123.76
2024,2.1,291837,7184.83,309.57,0.03,7184.83,1.31,5493.06,1.29,5575.46,6972.45,212.38,61.98
2025,2.12,296999,7137.4,317.74,0.04,7137.4,1.36,5267.18,1.34,5346.19,7223.46,-86.06,-25.56
